dt,Y,M,D,away_team,home_team,away_score,home_score,away_pitcher_id,home_pitcher_id,away_1_id,away_2_id,away_3_id,away_4_id,away_5_id,away_6_id,away_7_id,away_8_id,away_9_id,home_1_id,home_2_id,home_3_id,home_4_id,home_5_id,home_6_id,home_7_id,home_8_id,home_9_id,outcome
2020-07-23,2020,7,23,SFN,LAN,1,8,cuetj001,may-d003,yastm001,florw001,sandp001,dicka001,pench001,mccaj002,dubom001,crawb001,heint001,muncm001,bettm001,bellc002,turnj001,seagc001,herne001,pedej001,polla001,barna001,1
2020-07-23,2020,7,23,NYA,WAS,4,1,coleg001,schem001,hicka001,judga001,torrg001,stanm004,gardb001,sancg002,voitl001,urshg001,wadet002,turnt001,eatoa002,casts001,kendh001,thame001,suzuk001,cabra002,steva001,roblv001,0
2020-07-24,2020,7,24,COL,TEX,0,1,marqg001,lynnl001,dahld001,stort001,blacc001,arenn001,murpd006,mcmar001,tapir001,hills005,woltt001,choos001,andre001,santd001,gallj002,odorr001,frazt001,chirr001,solan001,kinei001,1
2020-07-24,2020,7,24,TOR,TBA,6,4,ryu-h001,mortc002,bichb001,biggc002,guerv002,shawt001,gricr001,tellr001,hernt002,fishd001,jansd001,diazy001,renfh001,tsuty001,martj008,margm001,brosm001,adamw002,kierk001,zunim001,0
2020-07-24,2020,7,24,LAA,OAK,3,7,heLAA001,montf001,fletd002,troum001,ohtas001,uptoj001,lastt001,pujoa001,castj006,simma001,goodb001,semim001,laurr001,chapm001,davik003,olsom001,pindc001,canhm001,piscs001,murps001,1
2020-07-24,2020,7,24,SEA,HOU,2,8,gonzm005,verlj001,longs001,white005,seagk001,lewik001,voged001,nolaa002,marmj001,crawj002,smitm007,sprig001,altuj001,brega001,branm003,gurry001,corrc001,reddj001,diaza003,maldm001,1
2020-07-24,2020,7,24,MIN,CHA,10,5,berrj001,gioll001,keplm001,donaj001,polaj001,cruzn002,rosae001,garvm001,cavej001,sanom001,arral001,andet001,moncy001,abrej003,grany001,encae001,jimee001,robel002,delmn001,garcl004,0
2020-07-24,2020,7,24,BAL,BOS,2,13,milot001,eovan001,haysa001,santa003,iglej001,nuner001,davic003,albeh001,ruizr002,sevep001,stewd002,benia002,martj006,dever001,bogax001,pillk001,vazqc001,chavm001,bradj001,peraj003,1
2020-07-24,2020,7,24,KCA,CLE,0,2,duffd001,biebs001,merrw001,mondr003,solej001,peres002,gorda001,mcbrr001,franm004,lopen001,starb001,hernc005,ramij003,lindf001,santc002,reyef001,luplj001,santd002,perer003,merco003,1
2020-07-24,2020,7,24,ARI,SDN,2,7,bumgm001,paddc001,martk001,perad001,marts002,escoe001,walkc002,calhk001,kellc002,lambj001,ahmen001,tatif002,machm001,phamt001,profj001,hosme001,myerw001,frant002,mejif001,grist001,1
2020-07-24,2020,7,24,MIA,PHI,5,2,alcas001,nolaa001,villj001,aguij001,dickc002,ramih004,andeb006,coopg002,diazi001,cervf001,rojam002,mccua001,hoskr001,harpb003,realj001,gregd001,seguj002,brucj001,kings001,quinr003,0
2020-07-24,2020,7,24,ATL,NYN,0,1,sorom001,degrj001,acunr001,albio001,freef001,ozunm001,adamm002,rilea001,swand001,incie001,jacka002,nimmb001,mcnej002,alonp001,confm001,cespy001,canor001,davij006,ramow001,rosaa003,1
2020-07-24,2020,7,24,SFN,LAN,1,9,andet002,strir001,yastm001,florw001,sandp001,dicka001,mccaj002,dubom001,crawb001,davij008,branr002,bettm001,muncm001,turnj001,bellc002,herne001,seagc001,taylc001,pedej001,smitw003,1
2020-07-24,2020,7,24,DET,CIN,1,7,boydm001,grays001,goodn002,schoj001,cabrm001,cronc002,stewc002,candj002,maybc001,romia002,jonej006,ervip001,vottj001,suare001,castn001,mousm001,davim005,senzn001,galvf001,casac001,1
2020-07-24,2020,7,24,MIL,CHN,0,3,woodb005,hendk001,sogae001,yelic001,hiurk001,smoaj001,braur002,garca003,narvo001,cainl001,arcio002,bryak001,rizza001,baezj001,schwk001,contw001,heywj001,carav001,hoern001,happi001,1
2020-07-24,2020,7,24,PIT,SLN,4,5,musgj001,flahj002,newmk001,reynb001,fraza001,bellj005,morac001,osunj001,hereg002,stalj001,dysoj001,wongk001,edmat001,goldp001,dejop001,carpm002,moliy001,fowld001,oneit001,badeh001,1
2020-07-25,2020,7,25,MIN,CHA,3,10,dobnr001,keucd001,garvm001,donaj001,cruzn002,polaj001,sanom001,rosae001,gonzm002,keplm001,adrie001,andet001,moncy001,abrej003,encae001,jimee001,delmn001,robel002,mccaj001,garcl004,1
2020-07-25,2020,7,25,COL,TEX,3,2,grayj003,minom001,dahld001,stort001,arenn001,blacc001,kempm001,mcmar001,owinc001,hampg001,buted001,choos001,andre001,santd001,gallj002,odorr001,frazt001,calhw001,guzmr001,mathj001,0
2020-07-25,2020,7,25,TOR,TBA,1,4,shoem001,yarbr001,bichb001,biggc002,gurrl001,guerv002,shawt001,gricr001,hernt002,mcgur002,espis001,choij001,loweb001,diazy001,tsuty001,wendj002,margm001,kierk001,adamw002,perem005,1
2020-07-25,2020,7,25,LAA,OAK,4,1,bundd001,mLAAs001,fletd002,troum001,uptoj001,pujoa001,wardt002,lastt001,hermm001,stasm001,simma001,semim001,laurr001,chapm001,olsom001,davik003,piscs001,grosr001,pindc001,allea001,0
2020-07-25,2020,7,25,SEA,HOU,2,7,walkt004,mccul002,longs001,white005,seagk001,lewik001,nolaa002,voged001,gordd002,crawj002,smitm007,sprig001,altuj001,brega001,branm003,gurry001,corrc001,reddj001,tuckk001,maldm001,1
2020-07-25,2020,7,25,KCA,CLE,3,2,singb001,clevm001,merrw001,mondr003,solej001,peres002,gorda001,mcbrr001,franm004,lopen001,starb001,hernc005,ramij003,lindf001,santc002,reyef001,johnd006,merco003,perer003,zimmb001,0
2020-07-25,2020,7,25,BAL,BOS,7,2,cobba001,perem004,haysa001,albeh001,iglej001,santa003,nuner001,sevep001,davic003,valap001,mullc002,benia002,martj006,dever001,morem001,peraj003,verda001,bradj001,plawk001,lin-t001,0
2020-07-25,2020,7,25,SFN,LAN,5,4,webbl001,wooda002,slata001,solad001,florw001,ruf-d001,pench001,yastm001,davij008,dubom001,heint001,muncm001,bettm001,bellc002,turnj001,seagc001,taylc001,pedej001,herne001,barna001,0
